id,issue_type,status,priority,assignee,timestamps
JIRA-0001,Bug,Open,Low,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-08-02T14:55:05Z', 'resolved_at': None}]"
JIRA-0002,Bug,Resolved,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-03-09T12:39:26Z', 'resolved_at': '2025-03-10T10:39:26Z'}]"
JIRA-0003,Story,Open,High,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-06-30T17:06:48Z', 'resolved_at': None}]"
JIRA-0004,Story,Done,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-11-22T20:24:58Z', 'resolved_at': '2025-11-23T07:24:58Z'}]"
JIRA-0005,Task,Resolved,Medium,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-01-06T01:08:44Z', 'resolved_at': '2025-01-07T09:08:44Z'}]"
JIRA-0006,Bug,Open,Medium,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-09-19T10:34:37Z', 'resolved_at': None}]"
JIRA-0007,Task,Open,Medium,"[{'id': 'u005', 'name': 'Adyna', 'email': 'adyna@fasttrack.com'}]","[{'created_at': '2025-09-25T03:47:57Z', 'resolved_at': None}]"
JIRA-0008,Story,Resolved,High,"[{'id': 'u001', 'name': 'Matheus Malta', 'email': 'matheus.malta@fasttrack.com'}]","[{'created_at': '2025-04-07T22:55:41Z', 'resolved_at': '2025-04-08T14:55:41Z'}]"
JIRA-0009,Story,Resolved,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-10-08T21:21:55Z', 'resolved_at': '2025-10-12T10:21:55Z'}]"
JIRA-0010,Bug,Open,High,"[{'id': 'u003', 'name': 'Guilherme Francisco', 'email': 'guilherme@fasttrack.com'}]","[{'created_at': '2025-06-27T00:19:54Z', 'resolved_at': None}]"
JIRA-0011,Story,Resolved,High,"[{'id': 'u004', 'name': 'Francinne', 'email': 'francinne@fasttrack.com'}]","[{'created_at': '2025-10-23T06:03:59Z', 'resolved_at': '2025-10-23T18:03:59Z'}]"
JIRA-0012,Story,Open,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-10-03T22:43:33Z', 'resolved_at': None}]"
JIRA-0013,Story,Resolved,Medium,"[{'id': 'u002', 'name': 'Gionni Lucio', 'email': 'gionni.lucio@fasttrack.com'}]","[{'created_at': '2025-02-25T11:02:21Z', 'resolved_at': '2025-03-01T04:02:21Z'}]"
